epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
21,,,,,1629,,,3.960571527481079,,
21,,,,,1634,,,3.9630584716796875,,
21,,,,,1639,,,3.9260315895080566,,
21,,,,,1644,,,3.902693271636963,,
21,,,,,1649,,,3.8116588592529297,,
21,,4.590216159820557,,,1649,,,,,4.592032432556152
21,3.9443249702453613,,,,1649,,3.9457221031188965,,,
22,,,,,1654,,,3.9024758338928223,,
22,,,,,1659,,,3.843111276626587,,
22,,,,,1664,,,3.856166124343872,,
22,,,,,1669,,,3.83148455619812,,
22,,,,,1674,,,3.844902992248535,,
22,,4.627131938934326,,,1674,,,,,4.629591941833496
22,,,,,1679,,,3.8698668479919434,,
22,,,,,1684,,,3.883033037185669,,
22,,,,,1689,,,3.917290449142456,,
22,,,,,1694,,,3.8411405086517334,,
22,,,,,1699,,,3.99891996383667,,
22,,4.611470699310303,,,1699,,,,,4.612847805023193
22,,,,,1704,,,3.9882144927978516,,
22,,,,,1709,,,4.016709804534912,,
22,,,,,1714,,,3.9760959148406982,,
22,,,,,1719,,,3.8443102836608887,,
22,,,,,1724,,,3.868373155593872,,
22,,4.6062822341918945,,,1724,,,,,4.606682777404785
22,3.9126663208007812,,,,1724,,3.913132429122925,,,
23,,,,,1729,,,3.784304618835449,,
23,,,,,1734,,,3.8394572734832764,,
23,,,,,1739,,,3.858400583267212,,
23,,,,,1744,,,3.888559103012085,,
23,,,,,1749,,,3.869225263595581,,
23,,4.625277996063232,,,1749,,,,,4.63027286529541
23,,,,,1754,,,3.863204002380371,,
23,,,,,1759,,,3.8333423137664795,,
23,,,,,1764,,,3.900792121887207,,
23,,,,,1769,,,3.874629020690918,,
23,,,,,1774,,,3.910601854324341,,
23,,4.632928848266602,,,1774,,,,,4.636207580566406
23,,,,,1779,,,3.938385486602783,,
23,,,,,1784,,,3.942063570022583,,
23,,,,,1789,,,3.971771240234375,,
23,,,,,1794,,,3.840813636779785,,
23,,,,,1799,,,4.047941207885742,,
23,,4.6157755851745605,,,1799,,,,,4.618165493011475
23,3.8877758979797363,,,,1799,,3.886090040206909,,,
24,,,,,1804,,,3.823368787765503,,
24,,,,,1809,,,3.8066906929016113,,
24,,,,,1814,,,3.7589292526245117,,
24,,,,,1819,,,3.953612804412842,,
24,,,,,1824,,,3.8810088634490967,,
24,,4.65842866897583,,,1824,,,,,4.659348487854004
24,,,,,1829,,,3.873919725418091,,
24,,,,,1834,,,3.879142999649048,,
24,,,,,1839,,,3.9298198223114014,,
24,,,,,1844,,,3.94234299659729,,
24,,,,,1849,,,3.850409507751465,,
24,,4.640138149261475,,,1849,,,,,4.644377708435059
24,,,,,1854,,,3.9328746795654297,,
24,,,,,1859,,,3.9791340827941895,,
24,,,,,1864,,,3.8587839603424072,,
24,,,,,1869,,,4.030169486999512,,
24,,,,,1874,,,3.9872193336486816,,
24,,4.626095771789551,,,1874,,,,,4.62811279296875
24,3.861903667449951,,,,1874,,3.8605852127075195,,,
25,,,,,1879,,,3.758197784423828,,
25,,,,,1884,,,3.578690528869629,,
25,,,,,1889,,,3.745166540145874,,
25,,,,,1894,,,3.784632921218872,,
25,,,,,1899,,,3.8149032592773438,,
25,,4.673125743865967,,,1899,,,,,4.674209117889404
25,,,,,1904,,,3.842740058898926,,
25,,,,,1909,,,3.7820241451263428,,
25,,,,,1914,,,3.901611566543579,,
25,,,,,1919,,,3.814378499984741,,
25,,,,,1924,,,3.7019309997558594,,
25,,4.64276647567749,,,1924,,,,,4.6450419425964355
25,,,,,1929,,,3.991798162460327,,
25,,,,,1934,,,3.8686294555664062,,
25,,,,,1939,,,3.8372015953063965,,
25,,,,,1944,,,3.912693500518799,,
25,,,,,1949,,,3.609423875808716,,
25,,4.641867637634277,,,1949,,,,,4.646716117858887
25,3.8300211429595947,,,,1949,,3.8323416709899902,,,
26,,,,,1954,,,3.748457431793213,,
26,,,,,1959,,,3.6733269691467285,,
26,,,,,1964,,,3.8589115142822266,,
26,,,,,1969,,,3.897820472717285,,
26,,,,,1974,,,3.7178955078125,,
26,,4.675055980682373,,,1974,,,,,4.679891109466553
26,,,,,1979,,,3.8259434700012207,,
26,,,,,1984,,,3.9101710319519043,,
26,,,,,1989,,,3.8992855548858643,,
26,,,,,1994,,,3.6432852745056152,,
26,,,,,1999,,,3.877079963684082,,
26,,4.6580376625061035,,,1999,,,,,4.661116600036621
26,3.7862279415130615,,,,1999,,3.7862277030944824,,,
